href,title,valor_monetario
/mke-ankaragucu/kader/verein/868/saison_id/2011,MKE Ankaragücü,€ 21.83 mi.
/galatasaray/kader/verein/141/saison_id/2012,Galatasaray,€ 152.10 mi.
/fenerbahce/kader/verein/36/saison_id/2012,Fenerbahce,€ 142.05 mi.
/besiktas-jk/kader/verein/114/saison_id/2012,Besiktas JK,€ 93.20 mi.
/trabzonspor/kader/verein/449/saison_id/2012,Trabzonspor,€ 77.35 mi.
/bursaspor/kader/verein/20/saison_id/2012,Bursaspor,€ 68.10 mi.
/kasimpasa/kader/verein/10484/saison_id/2012,Kasimpasa,€ 45.30 mi.
/eskisehirspor/kader/verein/825/saison_id/2012,Eskisehirspor,€ 45.20 mi.
/gaziantepspor/kader/verein/524/saison_id/2012,Gaziantepspor,€ 45.20 mi.
/genclerbirligi-ankara/kader/verein/820/saison_id/2012,Genclerbirligi Ankara,€ 44.95 mi.
/kayserispor/kader/verein/3205/saison_id/2012,Kayserispor,€ 42.60 mi.
/sivasspor/kader/verein/2381/saison_id/2012,Sivasspor,€ 41.08 mi.
/istanbul-buyuksehir-belediyespor/kader/verein/6890/saison_id/2012,Istanbul Büyüksehir Belediyespor,€ 36.95 mi.
/antalyaspor/kader/verein/589/saison_id/2012,Antalyaspor,€ 31.75 mi.
/kardemir-dc-karabukspor/kader/verein/1506/saison_id/2012,Kardemir DC Karabükspor,€ 30.90 mi.
/mersin-idmanyurdu/kader/verein/3216/saison_id/2012,Mersin Idmanyurdu,€ 29.05 mi.
/orduspor/kader/verein/2323/saison_id/2012,Orduspor,€ 28.45 mi.
/elazigspor/kader/verein/2292/saison_id/2012,Elazigspor,€ 16.68 mi.
/akhisar-belediyespor/kader/verein/19771/saison_id/2012,Akhisar Belediyespor,€ 13.33 mi.
/galatasaray/kader/verein/141/saison_id/2013,Galatasaray,€ 183.80 mi.
/fenerbahce/kader/verein/36/saison_id/2013,Fenerbahce,€ 146.95 mi.
/besiktas-jk/kader/verein/114/saison_id/2013,Besiktas JK,€ 110.30 mi.
/trabzonspor/kader/verein/449/saison_id/2013,Trabzonspor,€ 95.30 mi.
/bursaspor/kader/verein/20/saison_id/2013,Bursaspor,€ 60.28 mi.
/eskisehirspor/kader/verein/825/saison_id/2013,Eskisehirspor,€ 52.28 mi.
/kasimpasa/kader/verein/10484/saison_id/2013,Kasimpasa,€ 49.53 mi.
/antalyaspor/kader/verein/589/saison_id/2013,Antalyaspor,€ 46.00 mi.
/genclerbirligi-ankara/kader/verein/820/saison_id/2013,Genclerbirligi Ankara,€ 45.88 mi.
/kayserispor/kader/verein/3205/saison_id/2013,Kayserispor,€ 44.85 mi.
/sivasspor/kader/verein/2381/saison_id/2013,Sivasspor,€ 43.33 mi.
/kardemir-karabukspor/kader/verein/1506/saison_id/2013,Kardemir Karabükspor,€ 41.43 mi.
/gaziantepspor/kader/verein/524/saison_id/2013,Gaziantepspor,€ 37.78 mi.
/kayseri-erciyesspor/kader/verein/6894/saison_id/2013,Kayseri Erciyesspor,€ 33.68 mi.
/caykur-rizespor/kader/verein/126/saison_id/2013,Caykur Rizespor,€ 30.90 mi.
