,href,title,valor_monetario,nome_time,id_time,temporada
210,/swansea-city-afc/kader/verein/2288/saison_id/2014,Swansea City AFC,€ 130.75 mi.,swansea-city-afc,2288,14/15
211,/hull-city/kader/verein/3008/saison_id/2014,Hull City,€ 117.10 mi.,hull-city,3008,14/15
212,/aston-villa-fc/kader/verein/405/saison_id/2014,Aston Villa FC,€ 114.25 mi.,aston-villa-fc,405,14/15
213,/queens-park-rangers/kader/verein/1039/saison_id/2014,Queens Park Rangers,€ 112.25 mi.,queens-park-rangers,1039,14/15
214,/stoke-city/kader/verein/512/saison_id/2014,Stoke City,€ 110.50 mi.,stoke-city,512,14/15
215,/crystal-palace-fc/kader/verein/873/saison_id/2014,Crystal Palace FC,€ 97.25 mi.,crystal-palace-fc,873,14/15
216,/west-bromwich-albion/kader/verein/984/saison_id/2014,West Bromwich Albion,€ 95.95 mi.,west-bromwich-albion,984,14/15
217,/afc-sunderland/kader/verein/289/saison_id/2014,AFC Sunderland,€ 91.00 mi.,afc-sunderland,289,14/15
218,/leicester-city-fc/kader/verein/1003/saison_id/2014,Leicester City FC,€ 66.70 mi.,leicester-city-fc,1003,14/15
219,/fc-burnley/kader/verein/1132/saison_id/2014,FC Burnley,€ 52.55 mi.,fc-burnley,1132,14/15
220,/chelsea-fc/kader/verein/631/saison_id/2015,Chelsea FC,€ 553.50 mi.,chelsea-fc,631,15/16
221,/manchester-city-fc/kader/verein/281/saison_id/2015,Manchester City FC,€ 499.35 mi.,manchester-city-fc,281,15/16
222,/fc-arsenal/kader/verein/11/saison_id/2015,FC Arsenal,€ 457.85 mi.,fc-arsenal,11,15/16
223,/manchester-united-fc/kader/verein/985/saison_id/2015,Manchester United FC,€ 439.85 mi.,manchester-united-fc,985,15/16
224,/fc-liverpool/kader/verein/31/saison_id/2015,FC Liverpool,€ 375.25 mi.,fc-liverpool,31,15/16
225,/tottenham-hotspur/kader/verein/148/saison_id/2015,Tottenham Hotspur,€ 371.85 mi.,tottenham-hotspur,148,15/16
226,/fc-everton/kader/verein/29/saison_id/2015,FC Everton,€ 249.85 mi.,fc-everton,29,15/16
227,/fc-southampton/kader/verein/180/saison_id/2015,FC Southampton,€ 225.50 mi.,fc-southampton,180,15/16
228,/west-ham-united/kader/verein/379/saison_id/2015,West Ham United,€ 201.33 mi.,west-ham-united,379,15/16
229,/newcastle-united/kader/verein/762/saison_id/2015,Newcastle United,€ 198.00 mi.,newcastle-united,762,15/16
230,/leicester-city-fc/kader/verein/1003/saison_id/2015,Leicester City FC,€ 161.10 mi.,leicester-city-fc,1003,15/16
231,/stoke-city/kader/verein/512/saison_id/2015,Stoke City,€ 147.00 mi.,stoke-city,512,15/16
232,/swansea-city-afc/kader/verein/2288/saison_id/2015,Swansea City AFC,€ 145.80 mi.,swansea-city-afc,2288,15/16
233,/fc-watford/kader/verein/1010/saison_id/2015,FC Watford,€ 137.00 mi.,fc-watford,1010,15/16
234,/crystal-palace-fc/kader/verein/873/saison_id/2015,Crystal Palace FC,€ 135.70 mi.,crystal-palace-fc,873,15/16
235,/aston-villa-fc/kader/verein/405/saison_id/2015,Aston Villa FC,€ 117.95 mi.,aston-villa-fc,405,15/16
236,/norwich-city/kader/verein/1123/saison_id/2015,Norwich City,€ 116.90 mi.,norwich-city,1123,15/16
237,/west-bromwich-albion/kader/verein/984/saison_id/2015,West Bromwich Albion,€ 113.10 mi.,west-bromwich-albion,984,15/16
238,/afc-sunderland/kader/verein/289/saison_id/2015,AFC Sunderland,€ 111.25 mi.,afc-sunderland,289,15/16
239,/afc-bournemouth/kader/verein/989/saison_id/2015,AFC Bournemouth,€ 99.90 mi.,afc-bournemouth,989,15/16
240,/chelsea-fc/kader/verein/631/saison_id/2016,Chelsea FC,€ 686.70 mi.,chelsea-fc,631,16/17
241,/manchester-city-fc/kader/verein/281/saison_id/2016,Manchester City FC,€ 576.50 mi.,manchester-city-fc,281,16/17
242,/tottenham-hotspur/kader/verein/148/saison_id/2016,Tottenham Hotspur,€ 543.65 mi.,tottenham-hotspur,148,16/17
243,/fc-arsenal/kader/verein/11/saison_id/2016,FC Arsenal,€ 542.00 mi.,fc-arsenal,11,16/17
244,/manchester-united-fc/kader/verein/985/saison_id/2016,Manchester United FC,€ 531.45 mi.,manchester-united-fc,985,16/17
