href,title,valor_monetario
/tottenham-hotspur/kader/verein/148/saison_id/2012,Tottenham Hotspur,€ 296.80 mi.
/fc-liverpool/kader/verein/31/saison_id/2012,FC Liverpool,€ 276.10 mi.
/newcastle-united/kader/verein/762/saison_id/2012,Newcastle United,€ 200.25 mi.
/fc-everton/kader/verein/29/saison_id/2012,FC Everton,€ 139.75 mi.
/afc-sunderland/kader/verein/289/saison_id/2012,AFC Sunderland,€ 133.90 mi.
/queens-park-rangers/kader/verein/1039/saison_id/2012,Queens Park Rangers,€ 120.05 mi.
/aston-villa-fc/kader/verein/405/saison_id/2012,Aston Villa FC,€ 110.50 mi.
/fc-fulham/kader/verein/931/saison_id/2012,FC Fulham,€ 109.85 mi.
/stoke-city/kader/verein/512/saison_id/2012,Stoke City,€ 104.05 mi.
/west-ham-united/kader/verein/379/saison_id/2012,West Ham United,€ 103.00 mi.
/swansea-city-afc/kader/verein/2288/saison_id/2012,Swansea City AFC,€ 102.25 mi.
/west-bromwich-albion/kader/verein/984/saison_id/2012,West Bromwich Albion,€ 93.50 mi.
/wigan-athletic/kader/verein/1071/saison_id/2012,Wigan Athletic,€ 91.55 mi.
/fc-southampton/kader/verein/180/saison_id/2012,FC Southampton,€ 83.05 mi.
/norwich-city/kader/verein/1123/saison_id/2012,Norwich City,€ 73.25 mi.
/fc-reading/kader/verein/1032/saison_id/2012,FC Reading,€ 46.25 mi.
/chelsea-fc/kader/verein/631/saison_id/2013,Chelsea FC,€ 584.20 mi.
/manchester-city-fc/kader/verein/281/saison_id/2013,Manchester City FC,€ 455.80 mi.
/manchester-united-fc/kader/verein/985/saison_id/2013,Manchester United FC,€ 402.55 mi.
/fc-arsenal/kader/verein/11/saison_id/2013,FC Arsenal,€ 385.75 mi.
/fc-liverpool/kader/verein/31/saison_id/2013,FC Liverpool,€ 315.75 mi.
/tottenham-hotspur/kader/verein/148/saison_id/2013,Tottenham Hotspur,€ 288.95 mi.
/fc-everton/kader/verein/29/saison_id/2013,FC Everton,€ 210.00 mi.
/newcastle-united/kader/verein/762/saison_id/2013,Newcastle United,€ 172.30 mi.
/fc-southampton/kader/verein/180/saison_id/2013,FC Southampton,€ 131.50 mi.
/swansea-city-afc/kader/verein/2288/saison_id/2013,Swansea City AFC,€ 128.93 mi.
/afc-sunderland/kader/verein/289/saison_id/2013,AFC Sunderland,€ 122.00 mi.
/fc-fulham/kader/verein/931/saison_id/2013,FC Fulham,€ 112.65 mi.
/west-ham-united/kader/verein/379/saison_id/2013,West Ham United,€ 109.50 mi.
/aston-villa-fc/kader/verein/405/saison_id/2013,Aston Villa FC,€ 109.50 mi.
/stoke-city/kader/verein/512/saison_id/2013,Stoke City,€ 104.70 mi.
/west-bromwich-albion/kader/verein/984/saison_id/2013,West Bromwich Albion,€ 90.80 mi.
/norwich-city/kader/verein/1123/saison_id/2013,Norwich City,€ 89.30 mi.
/cardiff-city/kader/verein/603/saison_id/2013,Cardiff City,€ 87.90 mi.
/crystal-palace-fc/kader/verein/873/saison_id/2013,Crystal Palace FC,€ 68.70 mi.
/hull-city/kader/verein/3008/saison_id/2013,Hull City,€ 68.15 mi.
/chelsea-fc/kader/verein/631/saison_id/2014,Chelsea FC,€ 557.25 mi.
/manchester-united-fc/kader/verein/985/saison_id/2014,Manchester United FC,€ 505.40 mi.
/manchester-city-fc/kader/verein/281/saison_id/2014,Manchester City FC,€ 448.25 mi.
/fc-arsenal/kader/verein/11/saison_id/2014,FC Arsenal,€ 414.75 mi.
/fc-liverpool/kader/verein/31/saison_id/2014,FC Liverpool,€ 324.85 mi.
/tottenham-hotspur/kader/verein/148/saison_id/2014,Tottenham Hotspur,€ 304.15 mi.
/fc-southampton/kader/verein/180/saison_id/2014,FC Southampton,€ 210.25 mi.
/fc-everton/kader/verein/29/saison_id/2014,FC Everton,€ 182.85 mi.
/newcastle-united/kader/verein/762/saison_id/2014,Newcastle United,€ 140.00 mi.
/west-ham-united/kader/verein/379/saison_id/2014,West Ham United,€ 135.90 mi.
/swansea-city-afc/kader/verein/2288/saison_id/2014,Swansea City AFC,€ 130.75 mi.
/hull-city/kader/verein/3008/saison_id/2014,Hull City,€ 117.10 mi.
/aston-villa-fc/kader/verein/405/saison_id/2014,Aston Villa FC,€ 114.25 mi.
/queens-park-rangers/kader/verein/1039/saison_id/2014,Queens Park Rangers,€ 112.25 mi.
/stoke-city/kader/verein/512/saison_id/2014,Stoke City,€ 110.50 mi.
/crystal-palace-fc/kader/verein/873/saison_id/2014,Crystal Palace FC,€ 97.25 mi.
/west-bromwich-albion/kader/verein/984/saison_id/2014,West Bromwich Albion,€ 95.95 mi.
/afc-sunderland/kader/verein/289/saison_id/2014,AFC Sunderland,€ 91.00 mi.
/leicester-city-fc/kader/verein/1003/saison_id/2014,Leicester City FC,€ 66.70 mi.
/fc-burnley/kader/verein/1132/saison_id/2014,FC Burnley,€ 52.55 mi.
/chelsea-fc/kader/verein/631/saison_id/2015,Chelsea FC,€ 553.50 mi.
/manchester-city-fc/kader/verein/281/saison_id/2015,Manchester City FC,€ 499.35 mi.
/fc-arsenal/kader/verein/11/saison_id/2015,FC Arsenal,€ 457.85 mi.
/manchester-united-fc/kader/verein/985/saison_id/2015,Manchester United FC,€ 439.85 mi.
/fc-liverpool/kader/verein/31/saison_id/2015,FC Liverpool,€ 375.25 mi.
/tottenham-hotspur/kader/verein/148/saison_id/2015,Tottenham Hotspur,€ 371.85 mi.
/fc-everton/kader/verein/29/saison_id/2015,FC Everton,€ 249.85 mi.
/fc-southampton/kader/verein/180/saison_id/2015,FC Southampton,€ 225.50 mi.
/west-ham-united/kader/verein/379/saison_id/2015,West Ham United,€ 201.33 mi.
/newcastle-united/kader/verein/762/saison_id/2015,Newcastle United,€ 198.00 mi.
/leicester-city-fc/kader/verein/1003/saison_id/2015,Leicester City FC,€ 161.10 mi.
/stoke-city/kader/verein/512/saison_id/2015,Stoke City,€ 147.00 mi.
/swansea-city-afc/kader/verein/2288/saison_id/2015,Swansea City AFC,€ 145.80 mi.
/fc-watford/kader/verein/1010/saison_id/2015,FC Watford,€ 137.00 mi.
/crystal-palace-fc/kader/verein/873/saison_id/2015,Crystal Palace FC,€ 135.70 mi.
/aston-villa-fc/kader/verein/405/saison_id/2015,Aston Villa FC,€ 117.95 mi.
/norwich-city/kader/verein/1123/saison_id/2015,Norwich City,€ 116.90 mi.
/west-bromwich-albion/kader/verein/984/saison_id/2015,West Bromwich Albion,€ 113.10 mi.
/afc-sunderland/kader/verein/289/saison_id/2015,AFC Sunderland,€ 111.25 mi.
/afc-bournemouth/kader/verein/989/saison_id/2015,AFC Bournemouth,€ 99.90 mi.
/chelsea-fc/kader/verein/631/saison_id/2016,Chelsea FC,€ 686.70 mi.
/manchester-city-fc/kader/verein/281/saison_id/2016,Manchester City FC,€ 576.50 mi.
/tottenham-hotspur/kader/verein/148/saison_id/2016,Tottenham Hotspur,€ 543.65 mi.
/fc-arsenal/kader/verein/11/saison_id/2016,FC Arsenal,€ 542.00 mi.
/manchester-united-fc/kader/verein/985/saison_id/2016,Manchester United FC,€ 531.45 mi.
/fc-liverpool/kader/verein/31/saison_id/2016,FC Liverpool,€ 425.65 mi.
/fc-everton/kader/verein/29/saison_id/2016,FC Everton,€ 311.25 mi.
/west-ham-united/kader/verein/379/saison_id/2016,West Ham United,€ 273.05 mi.
/fc-southampton/kader/verein/180/saison_id/2016,FC Southampton,€ 263.75 mi.
/crystal-palace-fc/kader/verein/873/saison_id/2016,Crystal Palace FC,€ 228.43 mi.
/leicester-city-fc/kader/verein/1003/saison_id/2016,Leicester City FC,€ 218.65 mi.
/stoke-city/kader/verein/512/saison_id/2016,Stoke City,€ 186.00 mi.
/fc-watford/kader/verein/1010/saison_id/2016,FC Watford,€ 175.65 mi.
/swansea-city-afc/kader/verein/2288/saison_id/2016,Swansea City AFC,€ 157.10 mi.
/hull-city/kader/verein/3008/saison_id/2016,Hull City,€ 135.85 mi.
/afc-sunderland/kader/verein/289/saison_id/2016,AFC Sunderland,€ 132.00 mi.
/afc-bournemouth/kader/verein/989/saison_id/2016,AFC Bournemouth,€ 131.60 mi.
/fc-middlesbrough/kader/verein/641/saison_id/2016,FC Middlesbrough,€ 128.80 mi.
/west-bromwich-albion/kader/verein/984/saison_id/2016,West Bromwich Albion,€ 123.20 mi.
/fc-burnley/kader/verein/1132/saison_id/2016,FC Burnley,€ 107.18 mi.
/manchester-city-fc/kader/verein/281/saison_id/2017,Manchester City FC,€ 1.01 bilhões
/chelsea-fc/kader/verein/631/saison_id/2017,Chelsea FC,€ 884.25 mi.
/fc-liverpool/kader/verein/31/saison_id/2017,FC Liverpool,€ 857.50 mi.
/manchester-united-fc/kader/verein/985/saison_id/2017,Manchester United FC,€ 849.50 mi.
/tottenham-hotspur/kader/verein/148/saison_id/2017,Tottenham Hotspur,€ 829.60 mi.
/fc-arsenal/kader/verein/11/saison_id/2017,FC Arsenal,€ 694.00 mi.
/fc-everton/kader/verein/29/saison_id/2017,FC Everton,€ 381.25 mi.
/leicester-city-fc/kader/verein/1003/saison_id/2017,Leicester City FC,€ 304.25 mi.
/fc-southampton/kader/verein/180/saison_id/2017,FC Southampton,€ 297.00 mi.
/west-ham-united/kader/verein/379/saison_id/2017,West Ham United,€ 260.60 mi.
/crystal-palace-fc/kader/verein/873/saison_id/2017,Crystal Palace FC,€ 220.73 mi.
/newcastle-united/kader/verein/762/saison_id/2017,Newcastle United,€ 208.28 mi.
/fc-watford/kader/verein/1010/saison_id/2017,FC Watford,€ 196.00 mi.
/stoke-city/kader/verein/512/saison_id/2017,Stoke City,€ 192.45 mi.
/fc-burnley/kader/verein/1132/saison_id/2017,FC Burnley,€ 169.30 mi.
/west-bromwich-albion/kader/verein/984/saison_id/2017,West Bromwich Albion,€ 165.95 mi.
/swansea-city-afc/kader/verein/2288/saison_id/2017,Swansea City AFC,€ 165.49 mi.
/brighton-amp-hove-albion/kader/verein/1237/saison_id/2017,Brighton & Hove Albion,€ 148.20 mi.
/afc-bournemouth/kader/verein/989/saison_id/2017,AFC Bournemouth,€ 144.50 mi.
/huddersfield-town/kader/verein/1110/saison_id/2017,Huddersfield Town,€ 106.05 mi.
/manchester-city-fc/kader/verein/281/saison_id/2018,Manchester City FC,€ 1.20 bilhões
/fc-liverpool/kader/verein/31/saison_id/2018,FC Liverpool,€ 1.17 bilhões
/chelsea-fc/kader/verein/631/saison_id/2018,Chelsea FC,€ 1.17 bilhões
/tottenham-hotspur/kader/verein/148/saison_id/2018,Tottenham Hotspur,€ 898.60 mi.
/manchester-united-fc/kader/verein/985/saison_id/2018,Manchester United FC,€ 797.60 mi.
/fc-arsenal/kader/verein/11/saison_id/2018,FC Arsenal,€ 659.05 mi.
/fc-everton/kader/verein/29/saison_id/2018,FC Everton,€ 529.10 mi.
/leicester-city-fc/kader/verein/1003/saison_id/2018,Leicester City FC,€ 434.10 mi.
/west-ham-united/kader/verein/379/saison_id/2018,West Ham United,€ 359.00 mi.
/afc-bournemouth/kader/verein/989/saison_id/2018,AFC Bournemouth,€ 310.00 mi.
/fc-southampton/kader/verein/180/saison_id/2018,FC Southampton,€ 305.40 mi.
/wolverhampton-wanderers/kader/verein/543/saison_id/2018,Wolverhampton Wanderers,€ 302.90 mi.
/crystal-palace-fc/kader/verein/873/saison_id/2018,Crystal Palace FC,€ 289.00 mi.
/fc-fulham/kader/verein/931/saison_id/2018,FC Fulham,€ 254.25 mi.
/newcastle-united/kader/verein/762/saison_id/2018,Newcastle United,€ 244.65 mi.
/fc-watford/kader/verein/1010/saison_id/2018,FC Watford,€ 239.10 mi.
/fc-burnley/kader/verein/1132/saison_id/2018,FC Burnley,€ 197.25 mi.
/brighton-amp-hove-albion/kader/verein/1237/saison_id/2018,Brighton & Hove Albion,€ 194.35 mi.
/huddersfield-town/kader/verein/1110/saison_id/2018,Huddersfield Town,€ 137.45 mi.
/cardiff-city/kader/verein/603/saison_id/2018,Cardiff City,€ 113.00 mi.
/manchester-city-fc/kader/verein/281/saison_id/2019,Manchester City FC,€ 1.05 bilhões
/fc-liverpool/kader/verein/31/saison_id/2019,FC Liverpool,€ 1.00 bilhões
/tottenham-hotspur/kader/verein/148/saison_id/2019,Tottenham Hotspur,€ 806.80 mi.
/chelsea-fc/kader/verein/631/saison_id/2019,Chelsea FC,€ 705.85 mi.
/manchester-united-fc/kader/verein/985/saison_id/2019,Manchester United FC,€ 670.45 mi.
/fc-arsenal/kader/verein/11/saison_id/2019,FC Arsenal,€ 607.65 mi.
/fc-everton/kader/verein/29/saison_id/2019,FC Everton,€ 420.55 mi.
/leicester-city-fc/kader/verein/1003/saison_id/2019,Leicester City FC,€ 411.10 mi.
/wolverhampton-wanderers/kader/verein/543/saison_id/2019,Wolverhampton Wanderers,€ 320.33 mi.
/west-ham-united/kader/verein/379/saison_id/2019,West Ham United,€ 303.60 mi.
